"log_tipo_logradouro", "logradouro", "bairro", "cidade", "uf", "cep"
"Avenida", "1", "Conjunto Habitacional da Policia Militar", "São José dos Campos", "SP", "12228259"
"Travessa", "13ª", "Bairro da Pernambucana", "São José dos Campos", "SP", "12228843"
"Rua", "2", "Conjunto Habitacional da Policia Militar", "São José dos Campos", "SP", "12228452"
"Avenida", "2", "Conjunto Habitacional da Policia Militar", "São José dos Campos", "SP", "12228455"
"Avenida", "3", "Conjunto Habitacional da Policia Militar", "São José dos Campos", "SP", "12228453"
"Rua", "3", "Conjunto Habitacional da Policia Militar", "São José dos Campos", "SP", "12228454"
"Avenida", "4", "Conjunto Habitacional da Policia Militar", "São José dos Campos", "SP", "12228456"
"Rua", "4", "Conjunto Habitacional da Policia Militar", "São José dos Campos", "SP", "12228457"
"Rua", "5", "Conjunto Habitacional da Policia Militar", "São José dos Campos", "SP", "12228458"
"Via Local", "5", "Condomínio Royal Park", "São José dos Campos", "SP", "12246878"
"Rua", "6", "Conjunto Habitacional da Policia Militar", "São José dos Campos", "SP", "12228459"
"Rua", "A", "Jardim Santa Hermínia", "São José dos Campos", "SP", "12226838"
"Rua", "A", "Conjunto Residencial Trinta e Um de Março", "São José dos Campos", "SP", "12237651"
"Rua", "A", "Parque Interlagos", "São José dos Campos", "SP", "12229520"
"Rua", "A", "Buquirinha", "São José dos Campos", "SP", "12213841"
"Rua", "A", "Bom Retiro", "São José dos Campos", "SP", "12226260"
"Rua", "A 2", "Conjunto Residencial Trinta e Um de Março", "São José dos Campos", "SP", "12237653"
"Rua", "Abaeté", "Jardim Ismênia", "São José dos Campos", "SP", "12220680"
"Rua", "Abaré", "Jardim Vale do Sol", "São José dos Campos", "SP", "12238230"
"Rua", "Abel Cursino dos Santos", "Jardim Santa Inês I", "São José dos Campos", "SP", "12248340"
"Rua", "Abel de Paula", "Jardim Santa Rosa", "São José dos Campos", "SP", "12228874"
"Rua", "Abelardo Alves de Paiva", "Jardim Santa Inês I", "São José dos Campos", "SP", "12248490"
"Rua", "Abigail Brogliato Carnevalli", "Urbanova", "São José dos Campos", "SP", "12244430"
"Rua", "Abolição", "Vila Sanches", "São José dos Campos", "SP", "12245500"
"Rua", "Abrahão Coelho Cruz", "Campo dos Alemães", "São José dos Campos", "SP", "12239270"
"Rua", "Absínio", "Chácaras Pousada do Vale", "São José dos Campos", "SP", "12226756"
"Rua", "Abília Machado", "Residencial Tatetuba", "São José dos Campos", "SP", "12220110"
"Rua", "Abílio Pereira Dias", "Jardim Ismênia", "São José dos Campos", "SP", "12221030"
"Rua", "Acedro Ruston", "Campos de São José", "São José dos Campos", "SP", "12226410"
"Avenida", "Aclimação", "Jardim Alvorada", "São José dos Campos", "SP", "12240570"
"Rua", "Acre", "Vila São Pedro", "São José dos Campos", "SP", "12215690"
"Rua", "Acássia Pereira", "Campo dos Alemães", "São José dos Campos", "SP", "12239530"
"Rua", "Adalbert Bogsan", "Parque Residencial Aquarius", "São José dos Campos", "SP", "12246181"
"Rua", "Adalvaci Vieira dos Santos Oliveira", "Conjunto Residencial Dom Pedro I", "São José dos Campos", "SP", "12232660"
"Rua", "Adamantina", "Jardim das Indústrias", "São José dos Campos", "SP", "12240260"
"Rua", "Adelaide Louzada Franco do Amaral", "Jardim São José Leste", "São José dos Campos", "SP", "12216335"
"Rua", "Adelaide Oliveira Marcelino", "Cidade Morumbi", "São José dos Campos", "SP", "12236770"
"Rua", "Adelgido Justiniano de Paula", "Campo dos Alemães", "São José dos Campos", "SP", "12239800"
"Rua", "Adelina Delgado Motta", "Campos de São José", "São José dos Campos", "SP", "12226650"
"Viela", "Adelino Ferreira Brito", "Residencial Jatobá", "São José dos Campos", "SP", "12228123"
"Rua", "Adelino Mendonça", "Jardim Olímpia", "São José dos Campos", "SP", "12221250"
"Rua", "Adelmo Liberato", "Jardim Nova República", "São José dos Campos", "SP", "12234876"
"Rua", "Ademar Guedes de Oliveira", "Jardim Paulista", "São José dos Campos", "SP", "12216080"
"Rua", "Ademir da Silva", "Conjunto Residencial Nosso Teto", "São José dos Campos", "SP", "12228256"
"Rua", "Adhemar Prisco da Cunha", "Bosque dos Eucaliptos", "São José dos Campos", "SP", "12233050"
"Rua", "Adilson Aparecido da Silva", "Residencial São Francisco", "São José dos Campos", "SP", "12227861"
"Rua", "Adilson Carlos Alves", "Jardim Nova República", "São José dos Campos", "SP", "12234888"
"Avenida", "Adilson José da Cruz", "Conjunto Residencial Dom Pedro I", "São José dos Campos", "SP", "12232750"
"Estrada Municipal", "Adolpho Baptista da Cruz", "Cajuru", "São José dos Campos", "SP", "12226773"
"Rua", "Adolpho Castanho", "Jardim Satélite", "São José dos Campos", "SP", "12231730"
"Rua", "Adolpho Goll", "Jardim Juliana", "São José dos Campos", "SP", "12236842"
"Avenida", "Adonias da Silva", "Campo dos Alemães", "São José dos Campos", "SP", "12239570"
"Rua", "Adonis", "Monte Castelo", "São José dos Campos", "SP", "12215480"
"Rua", "Adriano Espindola", "Cidade Morumbi", "São José dos Campos", "SP", "12236720"
"Rua", "Adália Eurides Bezerra da Silva", "Residencial União", "São José dos Campos", "SP", "12239058"
"Rua", "Afonsina Peloia Simão", "Urbanova", "São José dos Campos", "SP", "12244020"
"Rua", "Afonso Celso", "Eugênio de Mello", "São José dos Campos", "SP", "12247060"
"Rua", "Afonso César de Siqueira", "Vila Adyana", "São José dos Campos", "SP", "12243710"
"Rua", "Afonso Galvão", "Jardim São Jorge", "São José dos Campos", "SP", "12221500"
"Rua", "Afonso José de Santana", "Vila Rossi", "São José dos Campos", "SP", "12211040"
"Rua", "Afonso Matarazzo Filho", "Vila Industrial", "São José dos Campos", "SP", "12220590"
"Praça", "Afonso Pena", "Centro", "São José dos Campos", "SP", "12210090"
"Rua", "Afonso Sardinha", "Jardim Esplanada", "São José dos Campos", "SP", "12242310"
"Rua", "Afrânio de Paiva Delgado", "Alto da Ponte", "São José dos Campos", "SP", "12212350"
"Avenida", "Agenor Alves dos Santos", "Conjunto Residencial Galo Branco", "São José dos Campos", "SP", "12247590"
"Rua", "Agenor Cursino", "Altos do Esplanada", "São José dos Campos", "SP", "12246012"
"Rua", "Agenor Domingues Varanda", "Vila Cândida", "São José dos Campos", "SP", "12213520"
"Rua", "Agenor Luchetti Simão", "Alto da Ponte", "São José dos Campos", "SP", "12212390"
"Rua", "Agenor Xavier de Oliveira", "Jardim Del Rey", "São José dos Campos", "SP", "12232238"
"Rua", "Agenor de Oliveira", "Jardim Torrão de Ouro", "São José dos Campos", "SP", "12229090"
"Rua", "Agostinho Benedetti", "Vila Industrial", "São José dos Campos", "SP", "12220560"
"Rua", "Agostinho dos Santos", "Vila Ester", "São José dos Campos", "SP", "12221660"
"Alameda", "Aguape", "Condomínio Espelho D'água", "São José dos Campos", "SP", "12213536"
"Rua", "Aguapei", "Vila São Bento", "São José dos Campos", "SP", "12231440"
"Praça", "Aida Monteiro de Castro Veloso", "Vila Industrial", "São José dos Campos", "SP", "12220550"
