"log_tipo_logradouro", "logradouro", "bairro", "cidade", "uf", "cep"
"Rua", "Luiz Martins", "Vila Santa Rita", "São José dos Campos", "SP", "12242320"
"Rua", "Luiz Murat", "Vila Sinhá", "São José dos Campos", "SP", "12212653"
"Rua", "Luiz Pereira Leite", "Jardim Santa Júlia", "São José dos Campos", "SP", "12228313"
"Rua", "Luiz Reis", "Jardim Oriente", "São José dos Campos", "SP", "12236310"
"Rua", "Luiz Roberto Garcia Tavares", "Residencial Bosque dos Ipês", "São José dos Campos", "SP", "12236868"
"Rua", "Luiz Roberto Rodrigues", "Jardim Torrão de Ouro", "São José dos Campos", "SP", "12229330"
"Rua", "Luiz Roberto dos Santos", "Jardim dos Bandeirantes", "São José dos Campos", "SP", "12234790"
"Rua", "Luiz Ruffa", "Jardim San Marino", "São José dos Campos", "SP", "12235850"
"Praça", "Luiz Vaz de Camões", "Jardim Oriente", "São José dos Campos", "SP", "12236381"
"Rua", "Luiz Veneziani", "Jardim Torrão de Ouro", "São José dos Campos", "SP", "12229834"
"Travessa", "Luiz de Azevedo Castro", "Jardim Paulista", "São José dos Campos", "SP", "12216081"
"Rua", "Luiz de Oliveira Ruivo", "Vila das Flores", "São José dos Campos", "SP", "12234774"
"Rua", "Luiz de Oliveira da Silva", "Cidade Morumbi", "São José dos Campos", "SP", "12236520"
"Rua", "Luiz de Paula Souza", "Residencial Armando Moreira Righi", "São José dos Campos", "SP", "12247804"
"Rua", "Luiza dos Santos Bernardes", "Jardim Santo Onofre", "São José dos Campos", "SP", "12228015"
"Rua", "Lupicinio Rodrigues", "Vila Ester", "São José dos Campos", "SP", "12221590"
"Rua", "Lupus", "Jardim da Granja", "São José dos Campos", "SP", "12227400"
"Rua", "Lupércio Antônio dos Santos", "Vila Sanches", "São José dos Campos", "SP", "12245521"
"Rua", "Lupércio Ramos", "Monte Castelo", "São José dos Campos", "SP", "12215500"
"Rua", "Lupércio da Costa Machado", "Vila Tesouro", "São José dos Campos", "SP", "12221430"
"Praça", "Luzia Aparecida Vilela", "Parque Residencial Aquarius", "São José dos Campos", "SP", "12246854"
"Rua", "Luzia Griecco", "Jardim Santa Júlia", "São José dos Campos", "SP", "12228281"
"Rua", "Luzia Menezes de Carvalho Cordeiro", "Residencial de Ville", "São José dos Campos", "SP", "12237871"
"Rua", "Luzinete Maria dos Santos Soares", "Conjunto Papa João Paulo II", "São José dos Campos", "SP", "12232419"
"Rua", "Luís Gama", "Vila Alexandrina", "São José dos Campos", "SP", "12211200"
"Rua", "Luís Gonzaga Alves", "Jardim Colonial", "São José dos Campos", "SP", "12234262"
"Rua", "Luís José dos Santos", "Jardim Santa Júlia", "São José dos Campos", "SP", "12228317"
"Praça", "Luís de Andrade Rodrigues", "Santana", "São José dos Campos", "SP", "12211623"
"Rua", "Lázaro Caetano da Costa", "Conjunto Residencial Vila Leila", "São José dos Campos", "SP", "12212479"
"Rua", "Lázaro Floriano Barbosa", "Jardim Santa Inês I", "São José dos Campos", "SP", "12248410"
"Rua", "Lázaro Gomes de Moraes", "Jardim Minas Gerais", "São José dos Campos", "SP", "12213254"
"Rua", "Léa Maria Brandão Russo", "Jardim Satélite", "São José dos Campos", "SP", "12231820"
"Alameda", "Lótus", "Condomínio Espelho D'água", "São José dos Campos", "SP", "12213538"
"Rua", "Lúcio Alves", "Campo dos Alemães", "São José dos Campos", "SP", "12239770"
"Rua", "Lúcio Alves de Almeida", "Conjunto Residencial Dom Pedro I", "São José dos Campos", "SP", "12232831"
"Rua", "M", "Jardim Santa Hermínia", "São José dos Campos", "SP", "12226834"
"Rua", "Macapa", "Parque Industrial", "São José dos Campos", "SP", "12235570"
"Rua", "Macau", "Parque Industrial", "São José dos Campos", "SP", "12235561"
"Rua", "Maceió", "Vila Terezinha", "São José dos Campos", "SP", "12209675"
"Rua", "Machado Sidney", "Centro", "São José dos Campos", "SP", "12245650"
"Rua", "Machado de Assis", "Monte Castelo", "São José dos Campos", "SP", "12215080"
"Rua", "Madagascar", "Jardim América", "São José dos Campos", "SP", "12235450"
"Rua", "Madre Maria Gema de Jesus", "Jardim da Granja", "São José dos Campos", "SP", "12227180"
"Rua", "Madre Paula de São José", "Vila Ema", "São José dos Campos", "SP", "12243010"
"Avenida", "Madre Teresa", "Centro", "São José dos Campos", "SP", "12245680"
"Avenida", "Madre Teresa de Calcutá", "Residencial São Francisco", "São José dos Campos", "SP", "12227850"
"Rua", "Madrid", "Jardim Augusta", "São José dos Campos", "SP", "12216750"
"Rua", "Maestro Darcy Rogériio Claudino", "Jardim Nova República", "São José dos Campos", "SP", "12234878"
"Rua", "Maestro Egydio Pinto", "Jardim São Dimas", "São José dos Campos", "SP", "12245190"
"Rua", "Maestro Francisco Gaia", "Monte Castelo", "São José dos Campos", "SP", "12215310"
"Rua", "Magnólia", "Monte Castelo", "São José dos Campos", "SP", "12215400"
"Rua", "Major Antônio Domingues", "Centro", "São José dos Campos", "SP", "12245750"
"Rua", "Major Arnaldo Visoto", "Bosque dos Eucaliptos", "São José dos Campos", "SP", "12233140"
"Avenida", "Major Aviador Jorge Mesquita", "Urbanova", "São José dos Campos", "SP", "12244510"
"Rua", "Major Dietrich Ott", "Jardim das Colinas", "São José dos Campos", "SP", "12242111"
"Rua", "Major Francisco de Paula Elias", "Vila Adyana", "São José dos Campos", "SP", "12245320"
"Rua", "Major José Mariotto Ferreira", "Vila Betânia", "São José dos Campos", "SP", "12245491"
