#;region;lat;lng;price_by_meter;residents;occupied_private_housing;residents_per_household;delegacy;hospital;ubs;upa;school;market;shopping;university;bank
0;Leste;-23.143691014634147;-46.48765187398373;3664.2247510668562;4609;1432;3.2;0;1;0;0;1;2;0;0;1
1;Leste;-23.143691014634147;-46.48765187398373;3460.459271178301;8505;2561;3.3;0;0;0;0;1;0;0;0;0
2;Leste;-23.143691014634147;-46.48765187398373;11865.895914275783;8391;2433;3.4;0;0;1;0;0;0;0;0;0
3;Leste;-23.143691014634147;-46.48765187398373;2413.3504492939664;3047;883;3.5;0;0;0;0;0;0;0;0;0
4;Leste;-23.143691014634147;-46.48765187398373;3255.8380902957965;3888;1198;3.2;0;0;1;0;1;0;0;0;0
5;Leste;-23.143691014634147;-46.48765187398373;2904.7619047619046;2534;779;3.3;0;0;1;1;2;2;0;0;1
6;Leste;-23.143691014634147;-46.48765187398373;3256.7353407290016;6045;1699;3.6;0;0;1;0;2;1;0;0;0
7;Leste;-23.143691014634147;-46.48765187398373;2476.858345021038;5927;1578;3.8;0;0;1;0;2;1;0;0;0
8;Leste;-23.143691014634147;-46.48765187398373;4474.112554112555;9232;2583;3.6;0;0;1;0;1;0;0;0;0
9;Leste;-23.143691014634147;-46.48765187398373;4060.0;1114;316;3.5;0;0;0;0;0;0;0;0;0
10;Leste;-23.143691014634147;-46.48765187398373;1857.142857142857;12480;3484;3.6;0;0;1;1;1;0;0;0;0
11;Leste;-23.143691014634147;-46.48765187398373;1421.0526315789473;3178;897;3.5;0;0;0;0;0;0;0;0;0
12;Leste;-23.143691014634147;-46.48765187398373;2692.3076923076924;4929;1374;3.6;0;0;0;0;0;1;0;0;0
13;Leste;-23.143691014634147;-46.48765187398373;1500.0;6525;1851;3.5;0;0;0;0;0;1;0;0;0
14;Leste;-23.143691014634147;-46.48765187398373;2924.5283018867926;3041;882;3.4;0;0;0;0;1;0;0;0;0
15;Leste;-23.143691014634147;-46.48765187398373;1833.3333333333333;3003;886;3.4;0;0;1;0;0;0;0;0;0
16;Leste;-23.143691014634147;-46.48765187398373;3675.0;5080;1449;3.5;0;0;0;0;0;0;0;0;0
17;Leste;-23.143691014634147;-46.48765187398373;2212.3893805309735;4013;1217;3.3;0;0;1;0;2;1;0;0;0
18;Leste;-23.143691014634147;-46.48765187398373;2832.3699421965316;3760;1075;3.5;0;0;1;0;1;1;0;0;0
19;Leste;-23.143691014634147;-46.48765187398373;3033.582089552239;8187;2267;3.6;0;0;2;0;1;4;0;0;0
20;Leste;-23.143691014634147;-46.48765187398373;2364.6153846153848;1767;513;3.4;0;0;0;0;0;0;0;0;0
21;Leste;-23.143691014634147;-46.48765187398373;3322.7953410981695;3175;940;3.4;0;0;0;0;1;0;0;0;0
22;Leste;-23.143691014634147;-46.48765187398373;2106.0713442003307;9596;2833;3.4;1;0;1;0;2;1;0;0;3
23;Leste;-23.143691014634147;-46.48765187398373;4249.359959037379;3783;1099;3.4;0;0;0;0;0;0;0;0;0
24;Oeste;-23.143691014634147;-46.48765187398373;3270.152319014205;13561;4360;3.1;1;0;1;0;7;2;0;0;2
25;Oeste;-23.143691014634147;-46.48765187398373;2830.4592133307497;2190;718;3.1;0;0;0;0;0;0;0;0;2
26;Oeste;-23.143691014634147;-46.48765187398373;8842.639008602819;1654;577;2.9;0;0;0;0;0;1;0;0;0
27;Oeste;-23.143691014634147;-46.48765187398373;8446.93085106383;10852;3997;2.7;0;0;0;0;2;1;0;1;3
28;Oeste;-23.143691014634147;-46.48765187398373;3233.1904891897793;7069;2161;3.3;0;0;0;0;2;0;0;1;2
29;Sul;-23.143691014634147;-46.48765187398373;3421.0526315789475;9468;2595;3.6;0;0;0;0;0;0;0;0;0
30;Sul;-23.143691014634147;-46.48765187398373;4686.229692664744;19153;4814;4.0;0;0;0;1;2;1;0;0;0
31;Sul;-23.143691014634147;-46.48765187398373;2824.266683699903;14050;3902;3.6;0;0;1;0;1;1;0;0;0
32;Sul;-23.143691014634147;-46.48765187398373;7171.361181094144;4510;1326;3.4;0;0;0;0;0;0;0;0;0
33;Sul;-23.143691014634147;-46.48765187398373;1619.718309859155;3127;898;3.5;0;0;0;0;0;1;0;0;0
34;Sul;-23.143691014634147;-46.48765187398373;3282.1927059882937;27210;8254;3.3;1;0;1;0;3;3;0;0;2
35;Sul;-23.143691014634147;-46.48765187398373;5085.531574740208;329;97;3.4;0;0;0;0;0;0;0;0;0
36;Sul;-23.143691014634147;-46.48765187398373;3070.4225352112676;1522;448;3.4;0;0;0;0;0;0;0;0;0
37;Sul;-23.143691014634147;-46.48765187398373;4650.934906509348;3791;1088;3.5;0;0;0;0;1;0;0;1;0
38;Sul;-23.143691014634147;-46.48765187398373;3282.843760464826;21089;6746;3.1;1;0;1;1;6;3;1;1;14
39;Sul;-23.143691014634147;-46.48765187398373;2364.864864864865;701;221;3.2;0;0;0;0;1;0;0;0;0
40;Sul;-23.143691014634147;-46.48765187398373;3322.6403720289354;4497;1519;3.0;0;0;0;0;6;1;0;0;2
41;Sul;-23.143691014634147;-46.48765187398373;2866.1971830985917;3554;1236;2.9;0;0;0;0;0;0;0;0;0
42;Sul;-23.143691014634147;-46.48765187398373;3321.8816810610724;1521;464;3.3;0;0;1;0;3;0;0;0;0
43;Sul;-23.143691014634147;-46.48765187398373;1978.5714285714287;4377;1323;3.3;0;0;1;0;3;0;0;0;0
44;Sul;-23.143691014634147;-46.48765187398373;5151.2637180938145;9677;2949;3.3;0;0;0;0;0;0;0;0;0
45;Sul;-23.143691014634147;-46.48765187398373;6809.201974652311;23369;7417;3.2;0;1;1;1;0;1;0;0;2
46;Sul;-23.143691014634147;-46.48765187398373;3257.1166207529845;3563;1210;2.9;0;0;0;0;0;0;0;0;0
47;Sul;-23.143691014634147;-46.48765187398373;1018.2619647355164;2068;608;3.4;0;0;1;0;1;0;0;0;1
48;Sul;-23.143691014634147;-46.48765187398373;7955.220976084396;3908;1150;3.4;0;0;1;0;2;2;0;1;4
49;Sul;-23.143691014634147;-46.48765187398373;1202.6515151515152;2378;662;3.6;0;0;0;0;0;0;0;0;0
50;Sudeste;-23.143691014634147;-46.48765187398373;3456.8507177598804;3337;944;3.5;0;0;0;0;0;0;0;0;0
